Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Тролли. Мировой тур;https://www.kinoafisha.info/movies/8329930/;9.4;2020, США;анимация, детский;УолтДорн,ДэвидП.Смит
Эту пару создал Бог;https://www.kinoafisha.info/movies/7814654/;9.3;2008, Индия;музыкальный, мелодрама;АдитьяЧопра
FORD против FERRARI;https://www.kinoafisha.info/movies/8354457/;9.1;2019, США;биография, драма;ДжеймсМэнголд
Зеленая миля;https://www.kinoafisha.info/movies/4982409/;9.1;1999, США;драма;ФрэнкДарабонт
Побег из Шоушенка;https://www.kinoafisha.info/movies/7731571/;9.1;1994, США;драма, триллер;ФрэнкДэрабон
Анастасия;https://www.kinoafisha.info/movies/5640854/;9.0;1997, США;анимация, сказка;ДонБлат,ГэриГолдмен
Зов предков;https://www.kinoafisha.info/movies/8353631/;9.0;2020, США;приключения, анимация;КрисСандерс
101 далматинец;https://www.kinoafisha.info/movies/7377347/;9.0;1961, США;семейный, приключения;КлайдДжероними,ХэмильтонЛаски,ВольфгангРайтерман
Аватар;https://www.kinoafisha.info/movies/3430393/;9.0;2009, США;боевик, фантастика;ДжеймсКэмерон
1+1;https://www.kinoafisha.info/movies/8133315/;9.0;2011, Франция;комедия, драма;ОливьеНакаш,ЭрикТоледано
Аватар: Специальная версия;https://www.kinoafisha.info/movies/8097574/;9.0;2010, США;боевик, триллер;ДжеймсКэмерон
Вперёд;https://www.kinoafisha.info/movies/8355472/;8.9;2020, США;анимация, семейный;ДэнСкэнлон
Счастье в конверте;https://www.kinoafisha.info/movies/8356384/;8.9;2020, Россия;семейный;СветланаСуханова
Король Лев;https://www.kinoafisha.info/movies/4620118/;8.9;1994, США;музыкальный, приключения;РоджерАллерс,РобМинкофф
Как приручить дракона 3;https://www.kinoafisha.info/movies/8168520/;8.9;2018, США;анимация, семейный;ДинДеблуа
Начало;https://www.kinoafisha.info/movies/7794008/;8.9;2010, США / Великобритания;боевик, фантастика;КристоферНолан
Хатико: самый верный друг;https://www.kinoafisha.info/movies/7719764/;8.9;2009, США;семейный, драма;ЛассеХалльстрем
Джентльмены;https://www.kinoafisha.info/movies/8356474/;8.9;2020, США;боевик, криминал;ГайРичи
Малефисента: Владычица тьмы;https://www.kinoafisha.info/movies/8326540/;8.8;2019, США;фэнтези, семейный;ХоакимРоннинг
Бриллиантовая рука;https://www.kinoafisha.info/movies/5425175/;8.8;1968, СССР;комедия, приключения;ЛеонидГайдай
Зеленая книга;https://www.kinoafisha.info/movies/8355131/;8.8;2018, США;драма;ПитерФаррелли
Зеленая книга;https://www.kinoafisha.info/movies/8355131/;8.8;2018, США;драма;ПитерФаррелли
Титаник;https://www.kinoafisha.info/movies/3577360/;8.8;1997, США;мелодрама, драма;ДжеймсКэмерон
Непосредственно Каха;https://www.kinoafisha.info/movies/8355244/;8.8;2019, Россия;комедия;ВикторШамиров
Пираты Карибского моря: Проклятие черной жемчужины;https://www.kinoafisha.info/movies/5371/;8.8;2003, США;приключения, боевик;ГорВербински
Храброе сердце;https://www.kinoafisha.info/movies/5413263/;8.8;1995, США;военный, биография;МэлГибсон
